# key	a	b	extra
capsule_loader	0x0	0x0	kernel/drivers/firmware/efi/capsule_loader
cast5_avx_x86_64	0x0	0x0	kernel/arch/x86/crypto/cast5_avx_x86_64
cast5_generic	0x0	0x0	kernel/crypto/cast5_generic
cast6_avx_x86_64	0x0	0x0	kernel/arch/x86/crypto/cast6_avx_x86_64
cast6_generic	0x0	0x0	kernel/crypto/cast6_generic
cast_common	0x0	0x0	kernel/crypto/cast_common
ccm	0x0	0x0	kernel/crypto/ccm
ccp	0x0	0x0	kernel/drivers/crypto/ccp/ccp
ceph	0x0	0x0	kernel/fs/ceph/ceph
chacha	0x0	0x0	kernel/crypto/chacha
chacha20poly1305	0x0	0x0	kernel/crypto/chacha20poly1305
cifs	0x0	0x0	kernel/fs/smb/client/cifs
cifs_arc4	0x0	0x0	kernel/fs/smb/common/cifs_arc4
cifs_md4	0x0	0x0	kernel/fs/smb/common/cifs_md4
clip	0x0	0x0	kernel/net/atm/clip
cls_basic	0x0	0x0	kernel/net/sched/cls_basic
cls_bpf	0x0	0x0	kernel/net/sched/cls_bpf
cls_cgroup	0x0	0x0	kernel/net/sched/cls_cgroup
cls_flow	0x0	0x0	kernel/net/sched/cls_flow
cls_flower	0x0	0x0	kernel/net/sched/cls_flower
cls_fw	0x0	0x0	kernel/net/sched/cls_fw
cls_matchall	0x0	0x0	kernel/net/sched/cls_matchall
cls_route	0x0	0x0	kernel/net/sched/cls_route
cls_u32	0x0	0x0	kernel/net/sched/cls_u32
cmac	0x0	0x0	kernel/crypto/cmac
cordic	0x0	0x0	kernel/lib/math/cordic
cpuid	0x0	0x0	kernel/arch/x86/kernel/cpuid
crc32_cryptoapi	0x0	0x0	kernel/crypto/crc32_cryptoapi
crc8	0x0	0x0	kernel/lib/crc/crc8
crc_itu_t	0x0	0x0	kernel/lib/crc/crc_itu_t
cryptd	0x0	0x0	kernel/crypto/cryptd
crypto_engine	0x0	0x0	kernel/crypto/crypto_engine
crypto_user	0x0	0x0	kernel/crypto/crypto_user
curve25519_generic	0x0	0x0	kernel/crypto/curve25519_generic
curve25519_x86_64	0x0	0x0	kernel/arch/x86/crypto/curve25519_x86_64
cuse	0x0	0x0	kernel/fs/fuse/cuse
dca	0x0	0x0	kernel/drivers/dca/dca
defxx	0x0	0x0	kernel/drivers/net/fddi/defxx
des3_ede_x86_64	0x0	0x0	kernel/arch/x86/crypto/des3_ede_x86_64
des_generic	0x0	0x0	kernel/crypto/des_generic
dlm	0x0	0x0	kernel/fs/dlm/dlm
dm_bio_prison	0x0	0x0	kernel/drivers/md/dm_bio_prison
dm_bufio	0x0	0x0	kernel/drivers/md/dm_bufio
dm_cache	0x0	0x0	kernel/drivers/md/dm_cache
dm_cache_smq	0x0	0x0	kernel/drivers/md/dm_cache_smq
dm_clone	0x0	0x0	kernel/drivers/md/dm_clone
dm_crypt	0x0	0x0	kernel/drivers/md/dm_crypt
dm_delay	0x0	0x0	kernel/drivers/md/dm_delay
dm_ebs	0x0	0x0	kernel/drivers/md/dm_ebs
dm_era	0x0	0x0	kernel/drivers/md/dm_era
dm_flakey	0x0	0x0	kernel/drivers/md/dm_flakey
dm_historical_service_time	0x0	0x0	kernel/drivers/md/dm_historical_service_time
dm_integrity	0x0	0x0	kernel/drivers/md/dm_integrity
dm_io_affinity	0x0	0x0	kernel/drivers/md/dm_io_affinity
dm_log	0x0	0x0	kernel/drivers/md/dm_log
dm_log_userspace	0x0	0x0	kernel/drivers/md/dm_log_userspace
dm_log_writes	0x0	0x0	kernel/drivers/md/dm_log_writes
dm_mirror	0x0	0x0	kernel/drivers/md/dm_mirror
dm_multipath	0x0	0x0	kernel/drivers/md/dm_multipath
dm_persistent_data	0x0	0x0	kernel/drivers/md/persistent-data/dm_persistent_data
dm_queue_length	0x0	0x0	kernel/drivers/md/dm_queue_length
dm_raid	0x0	0x0	kernel/drivers/md/dm_raid
dm_region_hash	0x0	0x0	kernel/drivers/md/dm_region_hash
dm_round_robin	0x0	0x0	kernel/drivers/md/dm_round_robin
dm_service_time	0x0	0x0	kernel/drivers/md/dm_service_time
dm_snapshot	0x0	0x0	kernel/drivers/md/dm_snapshot
dm_switch	0x0	0x0	kernel/drivers/md/dm_switch
dm_thin_pool	0x0	0x0	kernel/drivers/md/dm_thin_pool
dm_unstripe	0x0	0x0	kernel/drivers/md/dm_unstripe
dm_vdo	0x0	0x0	kernel/drivers/md/dm-vdo/dm_vdo
dm_verity	0x0	0x0	kernel/drivers/md/dm_verity
dm_writecache	0x0	0x0	kernel/drivers/md/dm_writecache
dm_zero	0x0	0x0	kernel/drivers/md/dm_zero
dm_zoned	0x0	0x0	kernel/drivers/md/dm_zoned
dptf_pch_fivr	0x0	0x0	kernel/drivers/acpi/dptf/dptf_pch_fivr
dptf_power	0x0	0x0	kernel/drivers/acpi/dptf/dptf_power
drbd	0x0	0x0	kernel/drivers/block/drbd/drbd
drm_ttm_helper	0x0	0x0	kernel/drivers/gpu/drm/drm_ttm_helper
dummy	0x0	0x0	kernel/drivers/net/dummy
e1000	0x0	0x0	kernel/drivers/net/ethernet/intel/e1000/e1000
e1000e	0x0	0x0	kernel/drivers/net/ethernet/intel/e1000e/e1000e
ebt_802_3	0x0	0x0	kernel/net/bridge/netfilter/ebt_802_3
ebt_among	0x0	0x0	kernel/net/bridge/netfilter/ebt_among
ebt_arp	0x0	0x0	kernel/net/bridge/netfilter/ebt_arp
ebt_arpreply	0x0	0x0	kernel/net/bridge/netfilter/ebt_arpreply
ebt_dnat	0x0	0x0	kernel/net/bridge/netfilter/ebt_dnat
ebt_ip	0x0	0x0	kernel/net/bridge/netfilter/ebt_ip
ebt_ip6	0x0	0x0	kernel/net/bridge/netfilter/ebt_ip6
ebt_limit	0x0	0x0	kernel/net/bridge/netfilter/ebt_limit
ebt_log	0x0	0x0	kernel/net/bridge/netfilter/ebt_log
ebt_mark	0x0	0x0	kernel/net/bridge/netfilter/ebt_mark
ebt_mark_m	0x0	0x0	kernel/net/bridge/netfilter/ebt_mark_m
ebt_nflog	0x0	0x0	kernel/net/bridge/netfilter/ebt_nflog
ebt_pkttype	0x0	0x0	kernel/net/bridge/netfilter/ebt_pkttype
ebt_redirect	0x0	0x0	kernel/net/bridge/netfilter/ebt_redirect
ebt_snat	0x0	0x0	kernel/net/bridge/netfilter/ebt_snat
ebt_stp	0x0	0x0	kernel/net/bridge/netfilter/ebt_stp
ebt_vlan	0x0	0x0	kernel/net/bridge/netfilter/ebt_vlan
ebtable_broute	0x0	0x0	kernel/net/bridge/netfilter/ebtable_broute
ebtable_filter	0x0	0x0	kernel/net/bridge/netfilter/ebtable_filter
ebtable_nat	0x0	0x0	kernel/net/bridge/netfilter/ebtable_nat
ebtables	0x0	0x0	kernel/net/bridge/netfilter/ebtables
ec_sys	0x0	0x0	kernel/drivers/acpi/ec_sys
ecdsa_generic	0x0	0x0	kernel/crypto/ecdsa_generic
echainiv	0x0	0x0	kernel/crypto/echainiv
ecrdsa_generic	0x0	0x0	kernel/crypto/ecrdsa_generic
efi_pstore	0x0	0x0	kernel/drivers/firmware/efi/efi_pstore
efi_test	0x0	0x0	kernel/drivers/firmware/efi/test/efi_test
efibc	0x0	0x0	kernel/drivers/firmware/efi/efibc
em_canid	0x0	0x0	kernel/net/sched/em_canid
em_cmp	0x0	0x0	kernel/net/sched/em_cmp
em_ipset	0x0	0x0	kernel/net/sched/em_ipset
em_ipt	0x0	0x0	kernel/net/sched/em_ipt
em_meta	0x0	0x0	kernel/net/sched/em_meta
em_nbyte	0x0	0x0	kernel/net/sched/em_nbyte
em_text	0x0	0x0	kernel/net/sched/em_text
em_u32	0x0	0x0	kernel/net/sched/em_u32
eql	0x0	0x0	kernel/drivers/net/eql
erofs	0x0	0x0	kernel/fs/erofs/erofs
esp4	0x0	0x0	kernel/net/ipv4/esp4
esp4_offload	0x0	0x0	kernel/net/ipv4/esp4_offload
esp6	0x0	0x0	kernel/net/ipv6/esp6
esp6_offload	0x0	0x0	kernel/net/ipv6/esp6_offload
essiv	0x0	0x0	kernel/crypto/essiv
fan	0x0	0x0	kernel/drivers/acpi/fan
fcrypt	0x0	0x0	kernel/crypto/fcrypt
fou	0x0	0x0	kernel/net/ipv4/fou
fou6	0x0	0x0	kernel/net/ipv6/fou6
fpga_mgr	0x0	0x0	kernel/drivers/fpga/fpga_mgr
garp	0x0	0x0	kernel/net/802/garp
geneve	0x0	0x0	kernel/drivers/net/geneve
ghash_clmulni_intel	0x0	0x0	kernel/arch/x86/crypto/ghash_clmulni_intel
grace	0x0	0x0	kernel/fs/nfs_common/grace
gre	0x0	0x0	kernel/net/ipv4/gre
hangcheck_timer	0x0	0x0	kernel/drivers/char/hangcheck_timer
hctr2	0x0	0x0	kernel/crypto/hctr2
hid	0x0	0x0	kernel/drivers/hid/hid
hid_generic	0x0	0x0	kernel/drivers/hid/hid_generic
hid_hyperv	0x0	0x0	kernel/drivers/hid/hid_hyperv
hv_netvsc	0x0	0x0	kernel/drivers/net/hyperv/hv_netvsc
hv_sock	0x0	0x0	kernel/net/vmw_vsock/hv_sock
hyperv_drm	0x0	0x0	kernel/drivers/gpu/drm/hyperv/hyperv_drm
hyperv_keyboard	0x0	0x0	kernel/drivers/input/serio/hyperv_keyboard
i2c_algo_bit	0x0	0x0	kernel/drivers/i2c/algos/i2c_algo_bit
i40e	0x0	0x0	kernel/drivers/net/ethernet/intel/i40e/i40e
ib_cm	0x0	0x0	kernel/drivers/infiniband/core/ib_cm
ib_core	0x0	0x0	kernel/drivers/infiniband/core/ib_core
ib_ipoib	0x0	0x0	kernel/drivers/infiniband/ulp/ipoib/ib_ipoib
ib_iser	0x0	0x0	kernel/drivers/infiniband/ulp/iser/ib_iser
ib_isert	0x0	0x0	kernel/drivers/infiniband/ulp/isert/ib_isert
ib_umad	0x0	0x0	kernel/drivers/infiniband/core/ib_umad
ib_uverbs	0x0	0x0	kernel/drivers/infiniband/core/ib_uverbs
ieee802154	0x0	0x0	kernel/net/ieee802154/ieee802154
ieee802154_6lowpan	0x0	0x0	kernel/net/ieee802154/6lowpan/ieee802154_6lowpan
ieee802154_socket	0x0	0x0	kernel/net/ieee802154/ieee802154_socket
ifb	0x0	0x0	kernel/drivers/net/ifb
igb	0x0	0x0	kernel/drivers/net/ethernet/intel/igb/igb
igbvf	0x0	0x0	kernel/drivers/net/ethernet/intel/igbvf/igbvf
ila	0x0	0x0	kernel/net/ipv6/ila/ila
inet_diag	0x0	0x0	kernel/net/ipv4/inet_diag
intel_m10_bmc_core	0x0	0x0	kernel/drivers/mfd/intel_m10_bmc_core
intel_m10_bmc_sec_update	0x0	0x0	kernel/drivers/fpga/intel_m10_bmc_sec_update
intel_qat	0x0	0x0	kernel/drivers/crypto/intel/qat/qat_common/intel_qat
iommufd	0x0	0x0	kernel/drivers/iommu/iommufd/iommufd
ip6_gre	0x0	0x0	kernel/net/ipv6/ip6_gre
ip6_tables	0x0	0x0	kernel/net/ipv6/netfilter/ip6_tables
ip6_tunnel	0x0	0x0	kernel/net/ipv6/ip6_tunnel
ip6_vti	0x0	0x0	kernel/net/ipv6/ip6_vti
ip6t_NPT	0x0	0x0	kernel/net/ipv6/netfilter/ip6t_NPT
ip6t_REJECT	0x0	0x0	kernel/net/ipv6/netfilter/ip6t_REJECT
ip6t_SYNPROXY	0x0	0x0	kernel/net/ipv6/netfilter/ip6t_SYNPROXY
ip6t_ah	0x0	0x0	kernel/net/ipv6/netfilter/ip6t_ah
ip6t_eui64	0x0	0x0	kernel/net/ipv6/netfilter/ip6t_eui64
ip6t_frag	0x0	0x0	kernel/net/ipv6/netfilter/ip6t_frag
ip6t_hbh	0x0	0x0	kernel/net/ipv6/netfilter/ip6t_hbh
ip6t_ipv6header	0x0	0x0	kernel/net/ipv6/netfilter/ip6t_ipv6header
ip6t_mh	0x0	0x0	kernel/net/ipv6/netfilter/ip6t_mh
ip6t_rpfilter	0x0	0x0	kernel/net/ipv6/netfilter/ip6t_rpfilter
ip6t_rt	0x0	0x0	kernel/net/ipv6/netfilter/ip6t_rt
ip6t_srh	0x0	0x0	kernel/net/ipv6/netfilter/ip6t_srh
ip6table_filter	0x0	0x0	kernel/net/ipv6/netfilter/ip6table_filter
ip6table_mangle	0x0	0x0	kernel/net/ipv6/netfilter/ip6table_mangle
ip6table_nat	0x0	0x0	kernel/net/ipv6/netfilter/ip6table_nat
ip6table_raw	0x0	0x0	kernel/net/ipv6/netfilter/ip6table_raw
ip6table_security	0x0	0x0	kernel/net/ipv6/netfilter/ip6table_security
ip_gre	0x0	0x0	kernel/net/ipv4/ip_gre
ip_set	0x0	0x0	kernel/net/netfilter/ipset/ip_set
ip_set_bitmap_ip	0x0	0x0	kernel/net/netfilter/ipset/ip_set_bitmap_ip
ip_set_bitmap_ipmac	0x0	0x0	kernel/net/netfilter/ipset/ip_set_bitmap_ipmac
ip_set_bitmap_port	0x0	0x0	kernel/net/netfilter/ipset/ip_set_bitmap_port
ip_set_hash_ip	0x0	0x0	kernel/net/netfilter/ipset/ip_set_hash_ip
ip_set_hash_ipmac	0x0	0x0	kernel/net/netfilter/ipset/ip_set_hash_ipmac
ip_set_hash_ipmark	0x0	0x0	kernel/net/netfilter/ipset/ip_set_hash_ipmark
